# Index: draw
# Unit: none

Draw,ge_empirical_distribution_lowpass
660,0.48252445
661,0.32502511
662,0.25231016
663,0.78281319
664,0.8433128
665,0.58547449
666,-0.012576955
667,0.71668845
668,0.74552184
669,0.84431726
670,0.29453284
671,0.35253537
672,0.86313069
673,0.52507973
674,0.34097552
675,0.80244839
676,0.60590571
677,0.057440888
678,0.76855063
679,0.64844239
680,0.76142228
681,0.7510246
682,0.66424221
683,0.28664348
684,0.93033278
685,0.9589532
686,0.70565057
687,0.25498915
688,0.53820837
689,0.84005904
690,0.63454819
691,0.82785445
692,0.64656496
693,0.72259212
694,0.68575752
695,0.63781184
696,0.6310001
697,0.82121575
698,0.54687625
699,0.36970288
700,0.45352283
701,0.40588275
702,0.28539136
703,0.52746302
704,-0.063413493
705,0.83520269
706,-0.035310082
707,0.63442379
708,0.60488409
709,0.64820373
710,-0.14222822
711,0.51378405
712,0.56861478
713,0.45170498
714,0.50260198
715,0.80009222
716,0.75670379
717,0.59045392
718,0.61589134
719,0.78537822
720,0.68487823
721,0.32736436
722,0.65706968
723,0.61454582
724,0.57082194
725,0.9313584
726,0.80817056
727,0.54253829
728,0.7542215
729,0.48912844
730,0.54283446
731,0.091553129
732,0.51280844
733,0.45105597
734,0.4734773
735,0.97301012
736,0.55440307
737,0.50785106
738,0.64605683
739,0.90442246
740,0.80799037
741,0.95488352
742,0.4251948
743,0.59725589
744,0.54409045
745,0.88222659
746,0.83424985
747,0.6017794
748,0.23750809
749,0.71639961
750,0.6453535
751,0.76546609
752,0.610771
753,-0.072707511
754,0.51601022
755,0.91461504
756,0.52719301
757,0.50142342
758,0.44290832
759,0.81283295
760,0.56762862
761,0.5800097
762,0.4858627
763,0.8811729
764,0.69378078
765,0.4378711
766,0.7360388
767,0.79666108
768,0.55099142
769,0.42558613
770,0.70295334
771,0.82452285
772,0.6247887
773,0.77407527
774,0.72970593
775,0.83563304
776,0.83203793
777,0.21239522
778,0.71098667
779,0.043695867
780,0.42353401
781,0.78940862
782,-0.073703572
783,0.25866154
784,0.52913392
785,0.44138351
786,0.86067456
787,0.60976166
788,0.67819762
789,-0.005735542
790,0.96827573
791,0.097636431
792,0.65336114
793,0.68069726
794,0.66929072
795,0.36224267
796,0.59693927
797,0.49946597
798,0.41202387
