# Index: time

time,perm_tot_ce_ch4
2163,6164.56487990442
2164,6213.31103704525
2165,6262.05719418608
2166,6310.8033513269
2167,6359.54950846773
2168,6408.29566560856
2169,6457.04182274939
2170,6505.78797989021
2171,6554.53413703104
2172,6603.28029417187
2173,6652.0264513127
2174,6700.77260845353
2175,6749.51876559435
2176,6798.26492273518
2177,6847.01107987601
2178,6895.75723701683
2179,6944.50339415766
2180,6993.24955129849
2181,7041.99570843932
2182,7090.74186558014
2183,7139.48802272097
2184,7188.2341798618
2185,7236.98033700263
2186,7285.72649414346
2187,7334.47265128428
2188,7383.21880842511
2189,7431.96496556594
2190,7480.71112270677
2191,7529.45727984759
2192,7578.20343698842
2193,7626.94959412925
2194,7675.69575127008
2195,7724.4419084109
2196,7773.18806555173
2197,7821.93422269256
2198,7870.68037983339
2199,7919.42653697421
2200,7968.17269411504
2201,8017.30839367596
2202,8066.44409323688
2203,8115.57979279781
2204,8164.71549235873
2205,8213.85119191965
2206,8262.98689148057
2207,8312.12259104149
2208,8361.25829060241
2209,8410.39399016333
2210,8459.52968972426
2211,8508.66538928518
2212,8557.8010888461
2213,8606.93678840702
2214,8656.07248796794
2215,8705.20818752886
2216,8754.34388708979
2217,8803.47958665071
2218,8852.61528621163
2219,8901.75098577255
2220,8950.88668533347
2221,9000.02238489439
2222,9049.15808445532
2223,9098.29378401624
2224,9147.42948357716
2225,9196.56518313808
2226,9245.700882699
2227,9294.83658225992
2228,9343.97228182084
2229,9393.10798138177
2230,9442.24368094269
2231,9491.37938050361
2232,9540.51508006453
2233,9589.65077962545
2234,9638.78647918637
2235,9687.92217874729
2236,9737.05787830822
2237,9786.19357786914
2238,9835.32927743006
2239,9884.46497699098
2240,9933.6006765519
2241,9982.73637611282
2242,10031.8720756737
2243,10081.0077752347
2244,10130.1434747956
2245,10179.2791743565
2246,10228.4148739174
2247,10277.5505734784
2248,10326.6862730393
2249,10375.8219726002
2250,10424.9576721611
2251,10472.989503656
2252,10521.021335151
2253,10569.0531666459
2254,10617.0849981408
2255,10665.1168296357
2256,10713.1486611306
2257,10761.1804926256
2258,10809.2123241205
2259,10857.2441556154
2260,10905.2759871103
2261,10953.3078186053
2262,11001.3396501002
2263,11049.3714815951
2264,11097.40331309
2265,11145.4351445849
2266,11193.4669760799
2267,11241.4988075748
2268,11289.5306390697
2269,11337.5624705646
2270,11385.5943020595
2271,11433.6261335545
2272,11481.6579650494
2273,11529.6897965443
2274,11577.7216280392
2275,11625.7534595342
2276,11673.7852910291
2277,11721.817122524
2278,11769.8489540189
2279,11817.8807855138
2280,11865.9126170088
2281,11913.9444485037
2282,11961.9762799986
2283,12010.0081114935
2284,12058.0399429884
2285,12106.0717744834
2286,12154.1036059783
2287,12202.1354374732
2288,12250.1672689681
2289,12298.1991004631
2290,12346.230931958
2291,12394.2627634529
2292,12442.2945949478
2293,12490.3264264427
2294,12538.3582579377
2295,12586.3900894326
2296,12634.4219209275
2297,12682.4537524224
2298,12730.4855839173
2299,12778.5174154123
2300,12826.5492469072
