"ISO","CC.2015","HA.2015","INFORM.2015","VU.2015","CC.2020","HA.2020","INFORM.2020","VU.2020","CC.2023","HA.2023","INFORM.2023","VU.2023","Country","HA.2050.Pess","HA.2050.Opt","HA.2080.Pess","HA.2080.Opt"
"BRA",4.1,3.5,3.8,3.9,4.3,7.2,4.9,3.8,4.3,5.7,4.5,3.8,"Brazil",5.8,5.8,5.8,5.8
"BRB",2.2,2.1,1.9,1.6,2.5,2.1,1.9,1.4,2.6,2.1,2,1.4,"Barbados",2.1,2.1,2.1,2
"BRN",3.7,1.4,1.6,0.8,3.5,1.4,1.7,1,3.5,1.4,1.8,1.1,"Brunei Darussalam",1.5,1.5,1.6,1.5
"BTN",4.7,2,3.4,4.1,4.5,2,3.2,3.5,4.4,2,3.1,3.5,"Bhutan",2.1,2.1,2.1,2
"BWA",4.7,1.5,3.1,4.2,4.4,1.5,2.9,3.8,4.6,1.5,2.9,3.6,"Botswana",1.9,1.8,2,1.9
"CAF",8.9,8.1,8.5,8.5,8.9,6.2,7.8,8.7,8.8,8.1,8.5,8.7,"Central African Republic",8.2,8.2,8.2,8.2
"CAN",2.4,2.5,2.4,2.3,2.3,2.5,2.4,2.3,2.4,2.5,2.4,2.3,"Canada",2.6,2.6,2.7,2.7
"CHE",0.9,1.3,1.4,2.3,0.9,1.3,1.4,2.5,0.9,1.3,1.4,2.5,"Switzerland",1.3,1.3,1.4,1.4
"CHL",2.9,3.8,2.7,1.7,2.7,3.8,2.6,1.8,2.8,3.8,3.4,3.8,"Chile",4,3.9,4.1,4
"CHN",3.8,5.1,4.1,3.5,3.4,5.1,3.7,3,3.3,5,3.7,3,"China",5.2,5.1,5.2,5.1
"CIV",7.5,2.6,4.9,6,6.6,2.6,4.6,5.7,6.6,2.5,4.5,5.6,"Côte d'Ivoire",3.1,2.9,3.3,2.8
"CMR",6,4.7,5.5,5.9,5.9,7.2,6.6,6.7,5.9,7.1,6.5,6.7,"Cameroon",7.4,7.3,7.4,7.4
"COD",8.1,5.9,7,7.3,8.1,7.4,7.7,7.5,8.1,7.3,7.6,7.5,"Congo DR",7.6,7.5,7.6,7.5
"COG",7.3,2.7,4.8,5.6,7.6,3,5.3,6.4,7.6,2.8,5.2,6.5,"Congo",3,3,3.2,3
"COL",4,6.9,5.6,6.2,3.6,6.9,5.3,6.1,3.6,6.9,5.4,6.2,"Colombia",7,6.9,7,6.9
"COM",7.2,1.5,3.9,5.5,7.1,1.5,3.8,5.3,7.1,1.5,3.7,4.6,"Comoros",2.1,1.8,2.2,1.9
"CPV",4.1,0.8,2.4,4.2,3.7,0.9,2.2,3.2,3.8,1,2.4,3.7,"Cabo Verde",1.6,1.5,1.6,1.4
"CRI",2.8,3.6,3,2.7,2.5,3.6,3.2,3.6,2.5,3.7,3.5,4.6,"Costa Rica",3.8,3.7,3.8,3.7
"CUB",3.1,3.3,2.3,1.2,2.9,3.3,3,2.7,2.9,3.3,2.3,1.2,"Cuba",3.3,3.3,3.3,3.3
"CYP",2.3,2.4,2.8,4.1,2.4,2.4,2.9,4.1,2.6,2.4,2.9,4.1,"Cyprus",2.6,2.6,2.9,2.8
"CZE",2.2,0.9,1.4,1.5,2,0.9,1.1,0.8,2,0.9,1.8,3.4,"Czech Republic",1,1,1.1,1
"DEU",1.5,1.5,1.8,2.6,1.5,1.7,2.1,3.4,1.6,1.6,2.1,3.8,"Germany",1.7,1.7,1.7,1.7
"DJI",6.4,3.4,4.9,5.5,6,3.8,5.2,6.1,6.1,3.4,4.8,5.4,"Djibouti",4,3.9,4.3,3.9
"DMA",3.8,2.8,2.9,2.4,4.1,2.8,3.5,3.7,4.1,2.8,3.1,2.5,"Dominica",2.8,2.8,2.8,2.8
"DNK",1.3,0.6,1.1,1.5,1.3,0.7,1.2,1.8,1.3,0.7,1.2,2.1,"Denmark",0.8,0.8,0.9,0.8
"DOM",4.6,4.1,3.7,2.6,4.4,4.1,4.1,3.9,4.4,4.1,4.1,3.8,"Dominican Republic",4.3,4.2,4.4,4.2
"DZA",4.5,6.6,4.4,2.9,4.4,4.3,3.8,2.9,4.4,3.6,3.6,2.9,"Algeria",4.2,3.9,4.3,3.8
"ECU",4.2,4.3,4.1,3.8,3.9,4.5,4.4,4.8,4,4.9,4.6,4.9,"Ecuador",4.9,4.8,5,4.8
"EGY",4.7,6.1,4.8,3.8,4.5,7.5,5,3.7,4.5,6.1,4.7,3.8,"Egypt",6.3,6.3,6.3,6.3
"ERI",8,2,4.4,5.2,7.8,2,4.2,4.6,7.7,7.1,6.2,4.4,"Eritrea",8,7.6,8.2,7.6
"ESP",1.8,2.3,1.8,1.3,1.7,2.5,2.1,2.3,1.8,2.4,2.3,2.7,"Spain",2.7,2.6,2.8,2.6
"EST",2.1,0.5,1,0.9,1.8,0.5,0.9,0.7,1.6,0.5,1.3,2.6,"Estonia",0.5,0.5,0.6,0.5
"ETH",7.2,5.7,6.4,6.4,6.8,7.3,6.8,6.4,6.7,7.3,7,7.1,"Ethiopia",7.4,7.4,7.4,7.4
"FIN",1.3,0.3,0.8,1.3,1.3,0.3,0.9,1.7,1.3,0.3,0.9,2.1,"Finland",0.4,0.4,0.5,0.4
"FJI",3.4,2.2,2.5,2.2,2.8,2.2,2.7,3.3,2.7,2.2,2.7,3.4,"Fiji",2.1,2.1,2.2,2.1
"FRA",2,2.5,2.3,2.5,1.9,2.5,2.4,2.8,1.9,2.1,2.3,3,"France",2.3,2.3,2.4,2.3
"FSM",5.4,2.4,3.9,4.6,5.2,2.3,3.9,4.9,5,2.3,3.6,3.9,"Micronesia",2.4,2.3,2.4,2.3
"GAB",5.8,1.4,3.2,4,6,1.4,3.1,3.4,6.1,1.4,3.1,3.4,"Gabon",1.8,1.7,1.9,1.7
"GBR",1.5,1.4,1.6,2.1,1.6,2.2,2,2.2,1.6,1.8,1.9,2.4,"United Kingdom",2.7,2.5,2.7,2.5
"GEO",3.4,2.5,3.4,4.5,3.1,2.5,3.3,4.6,3.2,2.5,3.4,4.8,"Georgia",2.6,2.5,2.7,2.6
"GHA",5.3,2.2,3.7,4.5,5,2.3,3.6,4.2,4.9,2.2,3.5,4.1,"Ghana",2.7,2.5,2.8,2.5
"GIN",7.6,3.1,4.8,4.8,7.1,3,4.5,4.2,7,3.3,4.6,4.2,"Guinea",4.1,4,4.3,4
"GMB",5.7,1.7,3.8,5.7,5.4,1.7,3.6,5.1,5.4,1.7,3.7,5.4,"Gambia",2.5,2.3,2.7,2.4
"GNB",8.1,1.5,4.2,5.9,8,1.5,3.8,4.7,7.9,1.4,3.8,4.8,"Guinea-Bissau",2.4,2.2,2.7,2.3
"GNQ",7.1,1.6,3.8,4.7,7.3,1.6,3.4,3.5,7.3,1.6,3.4,3.3,"Equatorial Guinea",1.4,1.4,1.5,1.4
"GRC",2.5,3.5,2.6,2,2.3,3.5,2.8,2.8,2.3,3.5,2.8,2.8,"Greece",3.6,3.6,3.7,3.6
"GRD",3.9,0.9,1.8,1.8,3.8,0.9,1.7,1.5,3.7,0.9,1.9,2.2,"Grenada",0.9,0.9,0.9,0.9
"GTM",5.3,4.5,5.2,6,5.4,4.3,5.2,6,5.4,4.2,5.1,5.7,"Guatemala",4.9,4.6,5.1,4.5
"GUY",5.4,2.2,3.3,2.9,5.1,2.2,3.6,4.2,5.1,2.1,3.6,4.4,"Guyana",2.1,2,2.2,2
"HND",5.3,4.1,4.9,5.4,5.2,4.1,4.9,5.4,5.3,3.9,5.1,6.3,"Honduras",4.5,4.3,4.6,4.2
"HRV",3,2.7,2.1,1.2,3.1,2.7,2.1,1.1,3.1,2.8,2.6,2,"Croatia",2.9,2.9,3,2.9
"HTI",7.3,4.5,6.1,6.9,7.2,5.7,6.1,5.6,7.2,6.4,6.5,5.9,"Haiti",6.7,6.5,6.8,6.5
"HUN",2,1.9,1.9,1.9,2.1,1.9,1.8,1.5,2.1,2,2,2,"Hungary",2.2,2.1,2.3,2.2
"IDN",4.8,5.2,4.4,3.5,4.4,7.4,4.7,3.2,4.4,6.7,4.6,3.3,"Indonesia",6.7,6.5,6.7,6.4
"IND",4.8,7.4,5.6,5,4.3,7.4,5.4,4.9,4.2,7.4,5.3,4.8,"India",7.4,7.3,7.4,7.2
"IRL",1.7,1.2,1.4,1.3,1.9,1.2,1.5,1.4,1.7,1.3,1.6,2,"Ireland",1.2,1.2,1.3,1.3
"IRN",4.6,5.3,4.6,4.1,4.5,6.9,5.4,5,4.6,6.7,5.1,4.4,"Iran",7.3,7,7.4,6.9
"IRQ",6.8,8.6,7.3,6.7,6.6,7.7,6.7,6,6.5,7.8,6.6,5.8,"Iraq",7.8,7.8,7.9,7.8
"ISL",1.9,1.2,1.2,0.7,1.8,1.2,1.2,0.8,1.9,1.2,1.4,1.2,"Iceland",1.2,1.2,1.2,1.3
"ISR",2.3,2.9,2.3,1.9,2,2.8,2.2,1.9,2.2,5.9,2.8,1.7,"Israel",6.1,6,6.2,6
"ITA",2.4,3,2.5,2.1,2.1,3,2.5,2.5,2.2,3,2.6,2.6,"Italy",3.1,3.1,3.1,3.1
"JAM",4,3.2,3.3,2.9,3.5,3.2,3,2.4,3.6,3.2,3.1,2.5,"Jamaica",3.4,3.3,3.5,3.3
"JOR",4.2,2.8,4.2,6.1,4.3,2.9,4.2,6.1,4.4,2.7,4.2,6.2,"Jordan",3.3,3.1,3.4,3.2
"JPN",1.5,5.4,2.1,1.2,1.5,5.4,2.3,1.5,1.5,5.4,2.2,1.3,"Japan",5.4,5.4,5.4,5.4
"KAZ",3.9,2.3,1.9,0.8,3.7,2.3,1.8,0.7,3.7,2.4,1.8,0.7,"Kazakhstan",2.6,2.5,2.7,2.6
"KEN",6.2,6.1,6.2,6.3,5.9,6,6,6,5.8,8.5,6.7,6.1,"Kenya",9,8.7,9.2,8.7
"KGZ",4.5,2.9,3.1,2.3,4.3,2.9,3.1,2.3,4.3,2.9,3.1,2.3,"Kyrgyzstan",3,2.9,3.1,2.9
"KHM",6.5,3.5,4.6,4.2,6.1,3.5,4.5,4.2,5.9,3.5,4.4,4,"Cambodia",4.1,3.8,4.3,3.6
"KIR",5.9,2.1,3.9,4.8,5.1,2.1,3.5,4,5.2,2,3.4,3.9,"Kiribati",2.8,2.8,2.8,2.8
"KNA",3.6,1.5,2,1.4,2.9,1.5,1.9,1.6,2.8,1.5,2,1.8,"Saint Kitts and Nevis",1.5,1.5,1.5,1.5
"KOR",1.9,3.5,1.8,0.9,1.6,3.5,2,1.4,1.6,3.5,1.9,1.2,"Korea Republic of",3.5,3.5,3.4,3.5
"KWT",3.8,1,1.9,1.7,3.6,1,1.8,1.5,3.7,1,1.8,1.5,"Kuwait",1.5,1.5,1.6,1.5
"LAO",6.3,3,4.3,4.1,5.9,3,4.2,4.2,5.9,2.9,3.9,3.5,"Lao PDR",3,2.9,3,2.9
"LBN",4.3,5.1,5.1,6.2,4.3,3.2,4.4,6.2,4.4,3.2,4.5,6.4,"Lebanon",3.5,3.3,3.6,3.4
"LBR",7.8,2.3,5,7.1,7.8,2.3,4.8,6.1,7.8,2.2,4.7,5.9,"Liberia",3,2.8,3.1,2.8
"LBY",6.6,6.3,5.9,4.9,6.9,8.2,6.6,5.1,7.1,8.2,6.2,4,"Libya",4,4,4,4
"LCA",3.8,1.4,2.3,2.2,3.9,1.4,2.3,2.2,3.9,1.4,2.3,2.3,"Saint Lucia",1.4,1.4,1.4,1.4
"LIE",1.3,0.7,0.9,0.8,1.2,0.7,0.8,0.7,1,0.7,0.8,0.7,"Liechtenstein",0.7,0.7,0.7,0.7
"LKA",4.2,3.2,3.9,4.5,4,3.4,3.6,3.3,4,3.3,3.3,2.7,"Sri Lanka",3.6,3.4,3.7,3.4
"LSO",6.7,1.5,3.8,5.6,6.7,1.5,3.9,5.8,6.8,1.5,3.9,5.8,"Lesotho",2.1,1.9,2.3,2
"LTU",2.4,0.8,1.3,1.1,2.3,0.8,1.3,1.1,2.2,0.8,1.7,2.6,"Lithuania",0.9,0.9,0.9,0.9
"LUX",1.3,0.4,0.8,1.1,1.3,0.5,1,1.4,1.1,0.5,1,1.9,"Luxembourg",0.6,0.5,0.7,0.6
"LVA",2.8,1.1,1.5,1.2,2.5,1.2,1.4,1,2.5,1.1,1.9,2.5,"Latvia",1.3,1.3,1.5,1.4
"MAR",5,2.8,3.5,3.1,4.7,2.7,3.5,3.4,4.6,2.7,3.5,3.4,"Morocco",3.3,2.9,3.4,2.8
"MDA",4.7,2.3,2.8,2.1,4.5,2.3,2.7,1.8,4.5,2.3,3.4,3.7,"Moldova Republic of",2.6,2.5,2.7,2.5
"MDG",7.3,3.9,5.2,4.8,7,3.9,5.1,5,7.1,3.9,5.3,5.3,"Madagascar",4.4,4.2,4.5,4.2
"MDV",4.8,1.8,2.7,2.4,4.2,1.7,2.3,1.7,4,1.7,2.4,2,"Maldives",1.8,1.7,1.8,1.8
"MEX",3.8,8.1,4.8,3.7,4.5,8.1,5.3,4,4.4,6.9,5.1,4.3,"Mexico",6.9,6.9,7,6.9
"MHL",6.4,2,4.2,5.6,6.2,2,3.8,4.5,6.2,2,3.8,4.6,"Marshall Islands",2.4,2.4,2.4,2.4
"MKD",3.5,2.1,2.5,2.2,3.5,2.1,2.3,1.6,3.6,2.1,2.5,2.1,"North Macedonia",2.3,2.3,2.4,2.3
"MLI",6.9,6.5,6.6,6.4,6.5,5.8,6,5.8,6.6,7.3,6.9,6.8,"Mali",7.5,7.5,7.5,7.5
"MLT",2.4,1.3,1.7,1.7,2.5,1.3,1.9,2.1,2.3,1.3,1.9,2.2,"Malta",1.3,1.3,1.3,1.3
"MMR",7,7.4,6.7,5.9,6.1,7.4,6.2,5.3,6.1,9.2,6.8,5.5,"Myanmar",9.3,9.3,9.4,9.3
"MNE",3.3,2.4,2.7,2.5,3.2,2.4,2.3,1.5,3.2,2.4,2.7,2.6,"Montenegro",2.4,2.4,2.5,2.4
"MNG",4.9,1.6,2.7,2.4,4.8,1.6,2.7,2.7,4.6,1.6,2.6,2.3,"Mongolia",1.8,1.7,2,1.7
"MOZ",6.5,4.6,5.8,6.5,6.3,6.5,6.6,7.1,6.2,7.8,7.2,7.8,"Mozambique",7.9,7.9,8,7.9
"MRT",6.8,3.3,5,5.6,6.4,3.3,5.1,6.1,6.5,3.2,4.9,5.6,"Mauritania",3.6,3.3,3.8,3.3
"MUS",2.8,2,2.1,1.7,2.8,2.1,2.1,1.5,2.8,2.1,2.1,1.6,"Mauritius",2.2,2.2,2.2,2.1
"MWI",6.5,2.6,4.6,5.9,6.4,2.7,4.6,5.8,6.4,2.6,4.5,5.5,"Malawi",3.3,3.1,3.6,3.1
"MYS",3,3.1,3.3,3.7,3,3,3,3,3,2.9,3,3,"Malaysia",3.1,2.9,3.2,2.9
"NAM",5,2.6,4.1,5.3,5,2.6,4.2,5.5,5,2.6,4,4.9,"Namibia",3.1,3,3.3,3
"NER",7.9,3.5,5.6,6.2,7.5,7.3,7.2,6.8,7.5,7.3,7.5,7.6,"Niger",5.9,5.8,5.9,5.8
"NGA",6.7,7.2,6.5,5.7,6.3,7.3,6.5,5.9,6.3,7.2,6.4,5.8,"Nigeria",7.4,7.4,7.4,7.4
"NIC",5.4,4.1,4.5,4.1,5.3,4.1,4.3,3.6,5.3,4.2,4.4,3.7,"Nicaragua",4.5,4.3,4.5,4.3
"NLD",1.2,1.1,1.4,2.1,1.2,1.1,1.4,2.2,1.3,1.1,1.5,2.5,"Netherlands",1.1,1.1,1.2,1.2
"NOR",1.6,0.3,1,2,1.6,0.3,1,2,1.5,0.3,0.9,1.9,"Norway",0.1,0,0.1,0.1
"NPL",5.9,3.7,4.8,5,5.5,3.6,4.4,4.4,5.5,3.6,4.4,4.4,"Nepal",4.1,3.6,4.2,3.6
"NRU",5.6,1.5,3.2,4,5.1,1.5,3.2,4.1,5.1,1.6,3.2,4,"Nauru",1.6,1.6,1.6,1.6
"NZL",1.8,2.5,1.6,0.9,1.8,2.5,1.5,0.8,1.8,2.5,1.6,0.9,"New Zealand",2.6,2.6,2.6,2.6
"OMN",3.9,2.8,2.6,1.6,3.7,2.9,2.5,1.5,3.7,2.9,2.6,1.6,"Oman",3.1,3,3.2,3
"PAK",5.7,9.1,6.8,6,5.4,7.2,6,5.6,5.4,7.2,6.1,5.8,"Pakistan",7.1,6.9,7.2,6.8
"PAN",4.1,3.8,3.6,2.9,3.9,3.8,3.8,3.8,4.1,3.8,3.9,3.8,"Panama",3.9,3.9,4,3.9
"PER",4.6,4.8,4.4,3.8,4.3,4.7,4.7,5,4.4,4.6,4.8,5.5,"Peru",5,4.8,5.1,4.8
"PHL",4.4,7.8,5.5,4.9,4.1,7.8,5.4,4.9,4.1,7.8,5.2,4.4,"Philippines",7.9,7.9,7.9,7.9
"PLW",4.5,1.7,2.6,2.2,4,1.7,2.3,1.9,4,2,3.3,4.4,"Palau",2.1,2.1,2.1,2.1
"PNG",7.4,4.3,5.5,5.2,7.3,4.5,5.6,5.4,7.3,5.1,5.9,5.5,"Papua New Guinea",5.1,4.9,5.1,4.9
"POL",2.8,1.3,1.8,1.6,2.9,1.3,1.7,1.3,3,1.3,2.5,3.9,"Poland",1.5,1.4,1.6,1.5
"PRK",7.1,3.1,4.9,5.4,6.4,3.2,4.6,4.9,6.4,3.1,4.3,3.9,"Korea DPR",3.3,3.2,3.4,3.2
"PRT",2,1.8,1.5,0.9,2,1.8,1.5,1,2,1.9,2,2.1,"Portugal",2,2,2,2
"PRY",4.7,1.4,2.9,3.6,4.3,1.4,2.8,3.6,4.2,1.4,2.6,2.9,"Paraguay",1.8,1.7,1.9,1.7
"PSE",4,7,5.6,6.3,4,5.4,5.1,6.3,4,4.1,4.6,6.1,"Palestine",4.2,4,4.3,4.1
"QAT",2.6,0.9,1.6,1.7,2.9,0.9,1.4,1,2.9,0.9,1.4,1,"Qatar",1.6,1.5,1.7,1.5
"ROU",3.5,2.3,2.3,1.5,3.4,2.3,2.3,1.5,3.4,2.3,2.7,2.5,"Romania",2.6,2.5,2.7,2.5
"RUS",4.6,6.4,4.4,2.8,4.3,5.5,3.6,1.9,4.3,4.4,4.1,3.6,"Russian Federation",4.9,4.8,4.9,4.7
"RWA",5.4,2.9,4.5,5.9,5,3.7,4.8,6,5,3,4.5,5.9,"Rwanda",4.3,3.7,4.4,3.5
"SAU",3.5,3,2.1,0.9,3.4,2.3,2.1,1.2,3.4,8.1,3.5,1.6,"Saudi Arabia",8.6,8.5,8.7,8.5
"SDN",7,7.3,7.2,7.2,6.8,6.4,6.7,7,6.7,7.3,7.1,7.2,"Sudan",7.5,7.5,7.6,7.5
"SEN",6,2.7,4.5,5.5,5.4,2.7,4.1,4.9,5.5,2.6,4.2,5,"Senegal",3.4,3,3.7,2.9
"SGP",1.1,0.5,0.6,0.4,1.1,0.5,0.5,0.3,1,0.5,0.5,0.3,"Singapore",0.6,0.6,0.6,0.6
"SLB",7.2,3.4,4.9,4.8,6.5,3.5,4.5,4,6.5,3.4,4.5,4,"Solomon Islands",3.7,3.6,3.7,3.6
"SLE",7.2,2.3,4.6,5.7,6.9,2.3,4.5,5.8,6.8,2.2,4.4,5.8,"Sierra Leone",2.9,2.7,3.1,2.7
"SLV",4.4,4,3.7,2.8,4.5,4.1,4.3,4.4,4.6,3.9,4.3,4.4,"El Salvador",4.4,4.2,4.5,4.2
"SOM",9.1,8.9,8.9,8.7,8.8,8.9,8.8,8.7,8.6,8.9,8.7,8.6,"Somalia",8.9,8.9,9,8.9
"SRB",3.8,2.5,3.3,3.9,3.7,2.5,2.8,2.5,3.7,2.5,2.8,2.4,"Serbia",2.8,2.7,2.9,2.8
"SSD",9.2,7.2,8.2,8.2,9.5,6.4,8.2,9,9.4,7.2,8.4,8.8,"South Sudan",7.4,7.3,7.4,7.3
"STP",5.7,0.7,2.6,4.4,5.4,0.7,2.4,3.8,5.3,0.6,2.5,4.8,"Sao Tome and Principe",1.2,1.2,1.2,1
"SUR",5.1,2.2,3,2.3,4.8,2.3,3.1,2.7,4.9,2.3,3.2,3,"Suriname",2.5,2.3,2.6,2.3
"SVK",2.6,1.5,1.6,1,2.7,1.5,1.5,0.9,2.6,1.5,2.2,2.6,"Slovakia",1.7,1.6,1.7,1.6
"SVN",1.7,1.8,1.3,0.7,1.6,1.8,1.2,0.6,1.6,1.9,1.6,1.3,"Slovenia",1.9,1.9,2,1.9
"SWE",1.5,0.6,1.3,2.7,1.4,0.7,1.4,3,1.5,0.6,1.4,2.9,"Sweden",0.8,0.8,0.8,0.8
"SWZ",5.5,1.4,3.2,4.3,5.4,1.4,3.4,5.2,5.5,1.5,3.3,4.3,"Eswatini",1.6,1.6,1.8,1.6
"SYC",3.4,1.5,2.3,2.4,2.9,1.5,1.7,1.2,2.9,1.6,1.9,1.4,"Seychelles",1.4,1.4,1.4,1.4
"SYR",5.4,8.7,6.9,7.1,5.4,8.7,7,7.3,5.5,7.8,6.9,7.8,"Syria",7.8,7.8,7.9,7.8
"TCD",9,4.6,6.8,7.5,8.9,5.7,7.2,7.4,8.8,7.2,7.8,7.6,"Chad",7.4,7.4,7.5,7.4
"TGO",8,1.7,4.2,5.5,7.6,1.8,4.1,5,7.5,1.7,4,5.1,"Togo",2.5,2.3,2.6,2.3
"THA",4.1,5.6,4.2,3.3,3.9,5.8,4.1,3.1,3.9,5.6,4,2.9,"Thailand",5.7,5.5,5.7,5.4
"TJK",5.1,3.7,3.9,3.2,5,4.1,4.1,3.4,4.9,3.7,4.1,3.8,"Tajikistan",4,3.9,4.2,3.9
"TKM",5.8,2.1,2.8,1.9,5.8,2.1,2.4,1.1,5.9,2.1,2.7,1.6,"Turkmenistan",2.4,2.4,2.5,2.4
"TLS",6.4,2.6,4.1,4.2,5.8,2.6,3.9,4,5.8,2.6,4,4.4,"Timor-Leste",2.7,2.6,2.8,2.6
"TON",4.3,3,3.6,3.7,4.2,3,3.8,4.4,4.2,3,3.8,4.4,"Tonga",3,2.9,3,2.9
"TTO",3.5,1.7,2.1,1.6,3.3,1.8,2.7,3.2,3.3,1.7,2.6,3.3,"Trinidad and Tobago",2.1,2.1,2.2,2
"TUN",4.9,4.2,3.2,1.6,4.7,3,3,2,4.7,2.7,3,2.1,"Tunisia",3.1,3.1,3.2,3.1
"TUR",3.2,5.8,4.3,4.4,3.1,7.9,4.9,4.8,3.2,6.6,4.7,4.8,"Türkiye",6.6,6.6,6.6,6.6
"TUV",5.6,1.7,3.3,3.9,5,1.7,3.1,3.6,5,2,3.6,4.6,"Tuvalu",2,2,2,2
"TZA",6.7,3.1,4.9,5.5,6.3,4.8,5.6,5.8,6.2,5.6,5.8,5.5,"Tanzania",6.2,6,6.5,5.9
"UGA",7.3,6.6,6.7,6.2,6.9,5.1,6.2,6.7,7,7.4,7.1,6.8,"Uganda",7.8,7.6,7.9,7.4
"UKR",5,7,5,3.6,4.5,5.4,4.5,3.7,4.5,5.4,5.1,5.4,"Ukraine",4.6,4.5,4.6,4.5
"URY",2.8,0.9,1.5,1.4,2.7,0.9,1.7,2.2,2.6,0.9,1.8,2.5,"Uruguay",1.1,1.1,1.2,1.1
"USA",2.1,6.1,3.2,2.5,2.1,5,3.2,3,2.2,4.6,3.2,3.1,"United States of America",4.8,4.8,4.9,4.9
"UZB",4.2,3.2,3.2,2.4,3.8,3.1,2.8,1.9,3.8,3.2,3.4,3.1,"Uzbekistan",3.5,3.3,3.6,3.3
"VCT",3.3,1.4,1.9,1.6,3.4,1.4,2.2,2.3,3.5,1.4,2.3,2.6,"Saint Vincent and the Grenadines",1.4,1.3,1.4,1.3
"VEN",5.4,5,4.6,3.5,4.9,5.5,4.7,3.9,5,6.6,5,3.8,"Venezuela",7,6.8,7.1,6.8
"VNM",4.4,4.7,3.6,2.3,4.1,4.7,3.5,2.2,4,4.7,3.4,2,"Viet Nam",4.8,4.7,4.8,4.7
"VUT",5.8,3.3,4.3,4.2,5.4,3.4,4,3.5,5.5,3.3,4.2,4,"Vanuatu",3.4,3.3,3.4,3.4
"WSM",4.3,1.9,3.1,3.5,4.3,1.9,3,3.4,4.2,2,3.1,3.4,"Samoa",2,1.9,2,1.9
"YEM",7.7,8.4,7.5,6.6,8,8.4,8.2,8.3,7.9,8.4,8.1,8.1,"Yemen",8.5,8.5,8.6,8.5
