Country,ISO3,Pop2015,GDP2015,LandArea,MarineArea,Temp1980,Temp2010
Lithuania,LTU,2.9637645,83761.79305,64939.30,6832.00,6.55,7.61
Albania,ALB,2.8824805,33583.36736,28335.85,12165.00,12.37,13.37
Armenia,ARM,2.8785945,29315.40401,29588.31,0.00,5.60,6.82
Jamaica,JAM,2.7944445,25182.38415,11032.90,272156.00,25.33,25.94
Qatar,QAT,2.4145725,240424.8006,11150.11,31489.00,26.50,27.55
Botswana,BWA,2.3051715,31162.41927,579029.20,0.00,21.97,22.37
Namibia,NAM,2.282704,24849.16751,822713.05,562212.00,21.11,21.78
Gambia,GMB,2.2531335,4427.516234,10500.90,23097.00,27.47,27.92
Lesotho,LSO,2.1185205,6386.751308,30106.52,0.00,11.35,12.33
North Macedonia,MKD,2.107962,28749.80184,25385.27,0.00,10.23,11.55
Slovenia,SVN,2.080862,65265.86852,20327.03,214.00,8.81,10.28
Gabon,GAB,2.028517,29199.27458,259968.49,201759.00,24.10,24.98
Latvia,LVA,1.9919545,49384.458,64576.40,28353.00,6.07,7.02
Guinea-Bissau,GNB,1.788919,3090.468073,32829.63,106870.00,27.43,27.66
Kosovo (under UNSC res. 1244),XKX,1.759122,15584.66425,10913.08,0.00,9.53,10.91
Trinidad and Tobago,TTO,1.4601765,40532.80587,5122.93,76562.00,25.92,26.52
Bahrain,BHR,1.362142,62994.15786,688.11,7516.00,25.75,26.49
Equatorial Guinea,GNQ,1.346973,28320.53141,26671.69,304133.00,23.58,24.41
Estonia,EST,1.3146565,38378.2172,45819.04,36451.00,5.54,6.54
Mauritius,MUS,1.293153,25271.8926,2014.44,1928986.00,23.77,24.40
Timor-Leste,TLS,1.205813,3756.623932,15082.24,77473.00,24.65,24.99
Cyprus,CYP,1.18728,27057.4424,5395.02,98450.00,18.30,19.52
Eswatini,SWZ,1.133936,9969.8088,17111.85,0.00,18.71,19.32
Djibouti,DJI,1.006259,4350.576767,21847.61,7223.00,28.38,28.71
Fiji,FJI,0.9172,10778.3581,18930.08,1289978.00,24.41,24.90
Guyana,GUY,0.755031,8656.533235,211213.70,138672.00,25.01,25.46
Bhutan,BTN,0.743274,7450.798297,40421.27,0.00,6.32,7.08
Comoros,COM,0.7302155,2143.329246,1672.23,164476.00,25.18,25.59
Montenegro,MNE,0.6339665,10160.88137,13727.49,6383.00,8.54,9.97
"China, Macao SAR",MAC,0.615239,70022.65097,30.08,0.00,22.94,23.43
Solomon Islands,SLB,0.61266,1505.046895,27198.80,1605325.00,25.98,26.51
Suriname,SUR,0.575475,9622.189492,145123.53,133303.00,25.73,26.10
Luxembourg,LUX,0.5694075,61437.30858,2608.47,0.00,8.27,9.24
Cabo Verde,CPV,0.552166,3470.693995,3926.71,801936.00,22.91,23.09
Western Sahara,ESH,0.4918235,906.5,90494.86,284054.00,23.86,24.44
Malta,MLT,0.4565785,16668.33258,325.69,52923.00,18.85,19.47
Maldives,MDV,0.435582,7653.295112,108.74,920739.00,26.99,27.45
Brunei Darussalam,BRN,0.4214365,26475.9858,5716.69,43144.00,26.48,26.98
Bahamas,BHS,0.3926975,12210.73771,12603.94,619785.00,25.07,25.47
Belize,BLZ,0.359871,3401.343635,22299.42,34312.00,24.90,25.80
Iceland,ISL,0.3310595,16276.45002,102390.07,808771.00,0.75,2.18
Small Islands - Oceania,SIS-Oceania,1.780423,29074.37681,42035.00,21740928.00,25.95,26.33
Small Islands - North America,SIS-NAmer,1.6198195,40564.75194,2160086.67,3645009.00,22.68,23.12
"Small Islands - South America, Africa, Around",SIS-Gondwana,0.309268,3070.253368,13436.71,3710836.00,19.17,19.38
Small Islands - Europe,SIS-Europe,0.363879,26207.8944,2118.90,280350.00,11.54,12.11
European Microstates,EUR-Micro,0.1426705,10358.39719,649.82,0.00,8.43,9.46
