Country,ISO3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Republic of the Congo,COG,44303,37502,34503,31745,29207,26871,24723,22746,20927,19254,17715,16298,14995,13796,12693,11678,10744,9885,9095,8368,7699,7083,6517,5996,5516,5075,4670,4296,3953,3637,3346,3078,2832,2606,2397,2206,2029,1867,1718,1580,1454,1338,1231,1132,1042,959,882,811,747,687
Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,220,186,171,158,145,133,123,113,104,96,88,81,74,68,63,58,53,49,45,42,38,35,32,30,27,25,23,21,20,18,17,15,14,13,12,11,10,9,9,8,7,7,6,6,5,5,4,4,4,3
Croatia,HRV,25433,21529,19808,18224,16767,15426,14193,13058,12014,11053,10170,9356,8608,7920,7287,6704,6168,5675,5221,4804,4420,4066,3741,3442,3167,2914,2681,2466,2269,2088,1921,1767,1626,1496,1376,1266,1165,1072,986,907,835,768,707,650,598,550,506,466,429,394
Cuba,CUB,1791,1516,1395,1283,1181,1086,999,919,846,778,716,659,606,558,513,472,434,400,368,338,311,286,263,242,223,205,189,174,160,147,135,124,114,105,97,89,82,75,69,64,59,54,50,46,42,39,36,33,30,28
Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,CZE,45139,38209,35154,32343,29757,27378,25189,23175,21322,19617,18049,16606,15278,14056,12932,11898,10947,10072,9266,8526,7844,7217,6640,6109,5620,5171,4758,4377,4027,3705,3409,3136,2886,2655,2443,2247,2068,1902,1750,1610,1482,1363,1254,1154,1062,977,899,827,761,700
C?te d'Ivoire,CIV,27644,23400,21529,19808,18224,16767,15426,14193,13058,12014,11053,10170,9357,8608,7920,7287,6704,6168,5675,5221,4804,4420,4066,3741,3442,3167,2914,2681,2466,2269,2088,1921,1767,1626,1496,1376,1266,1165,1072,986,907,835,768,707,650,598,550,506,466,429
Democratic People's Republic of Korea,PRK,68201,57731,53115,48868,44961,41366,38059,35016,32216,29640,27270,25090,23084,21238,19540,17978,16540,15218,14001,12882,11852,10904,10032,9230,8492,7813,7188,6614,6085,5598,5151,4739,4360,4011,3691,3396,3124,2874,2644,2433,2238,2059,1895,1743,1604,1476,1358,1249,1149,1057
Democratic Republic of the Congo,COD,597248,505559,465137,427947,393730,362249,333285,306637,282120,259563,238809,219715,202148,185985,171114,157433,144845,133264,122609,112806,103786,95488,87853,80829,74366,68420,62949,57916,53286,49025,45105,41499,38181,35128,32319,29735,27358,25170,23158,21306,19603,18035,16593,15267,14046,12923,11890,10939,10064,9260
Denmark,DNK,28663,24263,22323,20538,18896,17385,15995,14716,13540,12457,11461,10545,9702,8926,8212,7556,6951,6396,5884,5414,4981,4583,4216,3879,3569,3284,3021,2780,2557,2353,2165,1992,1832,1686,1551,1427,1313,1208,1111,1023,941,866,796,733,674,620,571,525,483,444
Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,DOM,2379,2014,1853,1705,1568,1443,1328,1222,1124,1034,951,875,805,741,682,627,577,531,488,449,413,380,350,322,296,273,251,231,212,195,180,165,152,140,129,118,109,100,92,85,78,72,66,61,56,51,47,44,40,37
Ecuador,ECU,9265,7843,7216,6639,6108,5620,5170,4757,4377,4027,3705,3408,3136,2885,2654,2442,2247,2067,1902,1750,1610,1481,1363,1254,1154,1061,977,898,827,761,700,644,592,545,501,461,424,390,359,331,304,280,257,237,218,200,184,170,156,144
Egypt,EGY,536946,454515,418174,384739,353977,325674,299635,275677,253635,233356,214698,197531,181738,167207,153838,141537,130221,119809,110229,101416,93307,85847,78983,72668,66858,61512,56594,52069,47906,44075,40551,37309,34326,31581,29056,26733,24596,22629,20820,19155,17623,16214,14918,13725,12628,11618,10689,9835,9048,8325
El Salvador,SLV,1326,1123,1033,950,874,804,740,681,627,576,530,488,449,413,380,350,322,296,272,251,230,212,195,180,165,152,140,129,118,109,100,92,85,78,72,66,61,56,51,47,44,40,37,34,31,29,26,24,22,21
Equatorial Guinea,GNQ,771,653,601,553,509,468,430,396,364,335,308,284,261,240,221,203,187,172,158,146,134,123,113,104,96,88,81,75,69,63,58,54,49,45,42,38,35,33,30,28,25,23,21,20,18,17,15,14,13,12
Eritrea,ERI,1715,1452,1336,1229,1131,1040,957,881,810,745,686,631,581,534,491,452,416,383,352,324,298,274,252,232,214,196,181,166,153,141,130,119,110,101,93,85,79,72,67,61,56,52,48,44,40,37,34,31,29,27
Estonia,EST,16,13,12,11,10,10,9,8,7,7,6,6,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Ethiopia,ETH,27003,22857,21030,19348,17801,16378,15068,13864,12755,11735,10797,9934,9139,8409,7736,7118,6549,6025,5543,5100,4692,4317,3972,3654,3362,3093,2846,2618,2409,2217,2039,1876,1726,1588,1461,1344,1237,1138,1047,963,886,815,750,690,635,584,538,495,455,419
Fiji,FJI,61,52,48,44,40,37,34,31,29,27,24,23,21,19,18,16,15,14,13,12,11,10,9,8,8,7,6,6,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1
Finland,FIN,94,80,73,67,62,57,52,48,44,41,38,35,32,29,27,25,23,21,19,18,16,15,14,13,12,11,10,9,8,8,7,7,6,6,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,1
France,FRA,413363,349904,321928,296188,272506,250717,230671,212228,195259,179647,165283,152068,139909,128723,118431,108961,100249,92234,84859,78074,71832,66088,60804,55943,51470,47354,43568,40085,36880,33931,31218,28722,26425,24313,22369,20580,18935,17421,16028,14746,13567,12482,11484,10566,9721,8944,8229,7571,6966,6409
Gabon,GAB,76523,64775,59596,54831,50447,46414,42703,39288,36147,33257,30598,28151,25900,23830,21924,20171,18558,17075,15709,14453,13298,12235,11256,10356,9528,8766,8065,7421,6827,6281,5779,5317,4892,4501,4141,3810,3505,3225,2967,2730,2512,2311,2126,1956,1800,1656,1523,1402,1290,1186
The Gambia,GMB,161,136,125,115,106,97,90,83,76,70,64,59,54,50,46,42,39,36,33,30,28,26,24,22,20,18,17,16,14,13,12,11,10,9,9,8,7,7,6,6,5,5,4,4,4,3,3,3,3,2
Georgia,GEO,6452,5461,5025,4623,4253,3913,3600,3312,3048,2804,2580,2373,2184,2009,1848,1701,1565,1440,1324,1219,1121,1031,949,873,803,739,680,626,576,530,487,448,412,379,349,321,296,272,250,230,212,195,179,165,152,140,128,118,109,100
Germany,DEU,224469,190009,174817,160839,147979,136148,125262,115246,106032,97554,89754,82578,75975,69900,64312,59169,54439,50086,46081,42397,39007,35888,33019,30379,27950,25715,23659,21767,20027,18426,16952,15597,14350,13202,12147,11176,10282,9460,8704,8008,7367,6778,6236,5738,5279,4857,4469,4111,3783,3480
Ghana,GHA,6607,5593,5145,4734,4355,4007,3687,3392,3121,2871,2642,2431,2236,2057,1893,1742,1602,1474,1356,1248,1148,1056,972,894,823,757,696,641,589,542,499,459,422,389,358,329,303,278,256,236,217,200,184,169,155,143,132,121,111,102
Greece,GRC,32716,27693,25479,23442,21568,19843,18257,16797,15454,14218,13081,12036,11073,10188,9373,8624,7934,7300,6716,6179,5685,5231,4812,4428,4074,3748,3448,3173,2919,2685,2471,2273,2091,1924,1770,1629,1499,1379,1269,1167,1074,988,909,836,769,708,651,599,551,507
Grenada,GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,7011,5934,5460,5023,4622,4252,3912,3599,3312,3047,2803,2579,2373,2183,2009,1848,1700,1564,1439,1324,1218,1121,1031,949,873,803,739,680,625,575,529,487,448,412,379,349,321,295,272,250,230,212,195,179,165,152,140,128,118,109
Guinea,GIN,6163,5217,4800,4416,4063,3738,3439,3164,2911,2679,2464,2267,2086,1919,1766,1625,1495,1375,1265,1164,1071,985,907,834,767,706,650,598,550,506,465,428,394,362,334,307,282,260,239,220,202,186,171,158,145,133,123,113,104,96
Guinea-Bissau,GNB,388,328,302,278,256,235,216,199,183,168,155,143,131,121,111,102,94,86,80,73,67,62,57,52,48,44,41,38,35,32,29,27,25,23,21,19,18,16,15,14,13,12,11,10,9,8,8,7,7,6
Guyana,GUY,10626,8995,8276,7614,7005,6445,5930,5456,5020,4618,4249,3909,3597,3309,3045,2801,2577,2371,2182,2007,1847,1699,1563,1438,1323,1217,1120,1030,948,872,803,738,679,625,575,529,487,448,412,379,349,321,295,272,250,230,212,195,179,165
Haiti,HTI,2626,2223,2045,1882,1731,1593,1466,1348,1241,1141,1050,966,889,818,752,692,637,586,539,496,456,420,386,355,327,301,277,255,234,216,198,182,168,154,142,131,120,111,102,94,86,79,73,67,62,57,52,48,44,41
Honduras,HND,14192,12014,11053,10169,9356,8608,7920,7287,6704,6168,5675,5221,4804,4420,4066,3741,3442,3167,2914,2681,2466,2269,2088,1921,1767,1626,1496,1376,1266,1165,1072,986,907,835,768,707,650,598,550,506,466,429,394,363,334,307,283,260,239,220
Hungary,HUN,103779,87847,80823,74361,68415,62945,57912,53282,49022,45102,41496,38178,35126,32317,29733,27356,25169,23156,21305,19601,18034,16592,15266,14045,12922,11889,10938,10064,9259,8519,7838,7211,6634,6104,5616,5167,4754,4374,4024,3702,3406,3134,2883,2653,2441,2246,2066,1901,1749,1609
Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,9138488,7735563,7117061,6548013,6024462,5542773,5099597,4691856,4316716,3971570,3654021,3361862,3093062,2845755,2618221,2408879,2216276,2039072,1876037,1726037,1588031,1461059,1344239,1236760,1137874,1046895,963190,886177,815322,750133,690155,634974,584204,537494,494518,454979,418600,385131,354338,326006,299940,275958,253894,233594,214917,197733,181923,167377,153994,141682
Indonesia,IDN,611314,517466,476092,438026,403003,370781,341135,313859,288764,265676,244434,224890,206909,190365,175145,161141,148257,136403,125497,115462,106231,97737,89922,82732,76117,70031,64432,59280,54541,50180,46168,42476,39080,35955,33081,30436,28002,25763,23703,21808,20064,18460,16984,15626,14377,13227,12170,11197,10301,9478
Iran,IRN,282791,239378,220238,202629,186428,171522,157808,145190,133581,122901,113074,104033,95715,88062,81021,74543,68583,63099,58054,53412,49142,45213,41598,38272,35212,32396,29806,27423,25230,23213,21357,19649,18078,16633,15303,14079,12954,11918,10965,10088,9282,8540,7857,7229,6651,6119,5630,5180,4765,4384
Iraq,IRQ,15509,13128,12078,11112,10224,9406,8654,7962,7326,6740,6201,5705,5249,4829,4443,4088,3761,3460,3184,2929,2695,2480,2281,2099,1931,1777,1635,1504,1384,1273,1171,1078,991,912,839,772,710,654,601,553,509,468,431,396,365,336,309,284,261,240
Ireland,IRL,3949,3343,3076,2830,2604,2395,2204,2028,1865,1716,1579,1453,1337,1230,1131,1041,958,881,811,746,686,631,581,534,492,452,416,383,352,324,298,274,252,232,214,197,181,166,153,141,130,119,110,101,93,85,79,72,67,61
Israel,ISR,1492,1263,1162,1069,984,905,833,766,705,648,597,549,505,465,427,393,362,333,306,282,259,239,219,202,186,171,157,145,133,122,113,104,95,88,81,74,68,63,58,53,49,45,41,38,35,32,30,27,25,23
Italy,ITA,275734,233403,214741,197572,181775,167241,153869,141566,130247,119833,110252,101437,93326,85864,78999,72683,66871,61524,56605,52079,47915,44084,40559,37316,34333,31588,29062,26738,24601,22634,20824,19159,17627,16218,14921,13728,12630,11620,10691,9837,9050,8326,7661,7048,6485,5966,5489,5050,4646,4275
Jamaica,JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,JPN,229003,193847,178348,164088,150968,138898,127792,117574,108173,99524,91567,84246,77510,71312,65611,60365,55538,51098,47012,43253,39795,36613,33686,30992,28514,26234,24137,22207,20431,18798,17295,15912,14640,13469,12392,11401,10490,9651,8879,8169,7516,6915,6362,5854,5386,4955,4559,4194,3859,3550
Jordan,JOR,1430,1210,1114,1025,943,867,798,734,675,621,572,526,484,445,410,377,347,319,294,270,248,229,210,194,178,164,151,139,128,117,108,99,91,84,77,71,66,60,55,51,47,43,40,37,34,31,28,26,24,22
Kazakhstan,KAZ,72515,61383,56475,51959,47805,43983,40466,37230,34254,31515,28995,26677,24544,22581,20776,19115,17586,16180,14887,13696,12601,11594,10667,9814,9029,8307,7643,7032,6470,5952,5476,5039,4636,4265,3924,3610,3322,3056,2812,2587,2380,2190,2015,1854,1705,1569,1444,1328,1222,1124
Kenya,KEN,16262,13765,12665,11652,10720,9863,9075,8349,7682,7067,6502,5982,5504,5064,4659,4287,3944,3628,3338,3071,2826,2600,2392,2201,2025,1863,1714,1577,1451,1335,1228,1130,1040,956,880,810,745,685,631,580,534,491,452,416,382,352,324,298,274,252
Kiribati,KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,KWT,16,13,12,11,10,10,9,8,7,7,6,6,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Kyrgyzstan,KGZ,18094,15316,14091,12965,11928,10974,10097,9290,8547,7863,7235,6656,6124,5634,5184,4769,4388,4037,3714,3417,3144,2893,2661,2449,2253,2073,1907,1755,1614,1485,1366,1257,1157,1064,979,901,829,763,702,645,594,546,503,462,426,391,360,331,305,281
Laos,LAO,15142,12818,11793,10850,9982,9184,8450,7774,7153,6581,6055,5570,5125,4715,4338,3991,3672,3379,3109,2860,2631,2421,2227,2049,1885,1735,1596,1468,1351,1243,1144,1052,968,891,819,754,694,638,587,540,497,457,421,387,356,328,301,277,255,235
Latvia,LVA,596,504,464,427,393,361,332,306,281,259,238,219,202,185,171,157,144,133,122,112,103,95,88,81,74,68,63,58,53,49,45,41,38,35,32,30,27,25,23,21,20,18,17,15,14,13,12,11,10,9
Lebanon,LBN,3018,2554,2350,2162,1989,1830,1684,1549,1425,1312,1207,1110,1021,940,865,795,732,673,620,570,524,482,444,408,376,346,318,293,269,248,228,210,193,177,163,150,138,127,117,108,99,91,84,77,71,65,60,55,51,47
Lesotho,LSO,14988,12687,11673,10739,9881,9091,8364,7695,7080,6514,5993,5514,5073,4667,4294,3951,3635,3344,3077,2831,2605,2396,2205,2028,1866,1717,1580,1453,1337,1230,1132,1041,958,882,811,746,687,632,581,535,492,453,416,383,352,324,298,275,253,232
Liberia,LBR,5821,4927,4533,4171,3837,3530,3248,2988,2750,2530,2327,2141,1970,1813,1668,1534,1412,1299,1195,1099,1011,931,856,788,725,667,614,564,519,478,440,404,372,342,315,290,267,245,226,208,191,176,162,149,137,126,116,107,98,90
Libya,LBY,2027,1716,1579,1452,1336,1229,1131,1041,957,881,811,746,686,631,581,534,492,452,416,383,352,324,298,274,252,232,214,197,181,166,153,141,130,119,110,101,93,85,79,72,67,61,56,52,48,44,40,37,34,31
Lithuania,LTU,3761,3184,2929,2695,2480,2281,2099,1931,1777,1635,1504,1384,1273,1171,1078,991,912,839,772,710,654,601,553,509,468,431,396,365,336,309,284,261,240,221,204,187,172,159,146,134,123,114,104,96,88,81,75,69,63,58
Luxembourg,LUX,737,623,574,528,486,447,411,378,348,320,295,271,249,229,211,194,179,164,151,139,128,118,108,100,92,84,78,71,66,60,56,51,47,43,40,37,34,31,29,26,24,22,20,19,17,16,15,13,12,11
Madagascar,MDG,30026,25417,23385,21515,19795,18212,16756,15416,14184,13049,12006,11046,10163,9350,8603,7915,7282,6700,6164,5671,5218,4801,4417,4064,3739,3440,3165,2912,2679,2465,2268,2086,1920,1766,1625,1495,1375,1265,1164,1071,986,907,834,768,706,650,598,550,506,466
Malawi,MWI,25518,21600,19873,18284,16822,15477,14240,13101,12054,11090,10203,9387,8637,7946,7311,6726,6189,5694,5239,4820,4434,4080,3754,3453,3177,2923,2690,2475,2277,2095,1927,1773,1631,1501,1381,1270,1169,1075,989,910,838,771,709,652,600,552,508,467,430,396
