# Index: time, region

year,EU,US,OT,EE,CA,IA,AF,LA
2065,115.036455783668,115.036455783668,115.036455783668,177.094327494777,341.100006875162,341.100006875162,355.76595757888,356.74259095412
2066,113.918216081165,113.918216081165,113.918216081165,177.062702876426,343.983736421554,343.983736421554,362.04083203496,362.252531439763
2067,112.799976378661,112.799976378661,112.799976378661,177.031078258075,346.867465967946,346.867465967946,368.31570649104,367.762471925407
2068,111.681736676158,111.681736676158,111.681736676158,176.999453639724,349.751195514339,349.751195514339,374.590580947119,373.27241241105
2069,110.563496973654,110.563496973654,110.563496973654,176.967829021372,352.634925060731,352.634925060731,380.865455403199,378.782352896693
2070,109.44525727115,109.44525727115,109.44525727115,176.936204403021,355.518654607123,355.518654607123,387.140329859279,384.292293382336
2071,108.327017568647,108.327017568647,108.327017568647,176.90457978467,358.402384153515,358.402384153515,393.415204315359,389.802233867979
2072,107.208777866143,107.208777866143,107.208777866143,176.872955166318,361.286113699907,361.286113699907,399.690078771439,395.312174353623
2073,106.09053816364,106.09053816364,106.09053816364,176.841330547967,364.169843246299,364.169843246299,405.964953227518,400.822114839266
2074,104.972298461136,104.972298461136,104.972298461136,176.809705929616,367.053572792691,367.053572792691,412.239827683598,406.332055324909
2075,103.854058758632,103.854058758632,103.854058758632,176.778081311265,369.937302339083,369.937302339083,418.514702139678,411.841995810552
2076,104.354545258872,104.354545258872,104.354545258872,177.999582195083,374.136662948986,374.136662948986,425.966194700153,419.476727390972
2077,104.855031759111,104.855031759111,104.855031759111,179.221083078901,378.33602355889,378.33602355889,433.417687260629,427.111458971392
2078,105.35551825935,105.35551825935,105.35551825935,180.442583962719,382.535384168793,382.535384168793,440.869179821104,434.746190551812
2079,105.856004759589,105.856004759589,105.856004759589,181.664084846537,386.734744778696,386.734744778696,448.320672381579,442.380922132232
2080,106.356491259829,106.356491259829,106.356491259829,182.885585730355,390.934105388599,390.934105388599,455.772164942054,450.015653712652
2081,106.856977760068,106.856977760068,106.856977760068,184.107086614173,395.133465998503,395.133465998503,463.22365750253,457.650385293072
